,AGEP,MSP,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
154,25-34,Separated,2.5,1.0,3.7,1.4,1.2,3,2.2,1.0,0.7,3.8,1.6
155,25-34,Never married,103.3,102.0,104.5,102.2,1.2,3,106.5,102.0,105.0,108.1,1.6
156,35-44,"Now married, spouse present",85.2,84.0,86.4,84.0,1.2,3,84.2,84.0,82.6,85.8,1.6
157,35-44,"Now Married, spouse absent",8.8,8.0,9.9,7.6,1.2,3,9.4,8.0,7.8,10.9,1.6
158,35-44,Widowed,1.9,0.0,3.1,0.8,1.2,3,0.8,0.0,-0.8,2.4,1.6
159,35-44,Divorced,10.8,10.0,12.0,9.7,1.2,3,11.7,10.0,10.2,13.3,1.6
160,35-44,Separated,7.0,7.0,8.2,5.8,1.2,3,7.3,7.0,5.8,8.9,1.6
161,35-44,Never married,41.5,43.0,42.7,40.3,1.2,3,42.7,43.0,41.1,44.3,1.6
162,45-54,"Now married, spouse present",84.7,82.0,85.8,83.5,1.2,3,83.3,82.0,81.7,84.9,1.6
163,45-54,"Now Married, spouse absent",1.4,4.0,2.6,0.3,1.2,3,1.7,4.0,0.1,3.3,1.6
164,45-54,Widowed,3.5,3.0,4.7,2.4,1.2,3,4.2,3.0,2.7,5.8,1.6
165,45-54,Divorced,20.5,18.0,21.7,19.3,1.2,3,20.9,18.0,19.3,22.4,1.6
166,45-54,Separated,5.3,7.0,6.5,4.2,1.2,3,6.8,7.0,5.3,8.4,1.6
167,45-54,Never married,32.6,33.0,33.8,31.4,1.2,3,35.5,33.0,34.0,37.1,1.6
168,55-64,"Now married, spouse present",92.4,92.0,93.6,91.3,1.2,3,92.9,92.0,91.3,94.4,1.6
169,55-64,"Now Married, spouse absent",6.8,7.0,7.9,5.6,1.2,3,6.6,7.0,5.0,8.1,1.6
170,55-64,Widowed,8.5,8.0,9.7,7.3,1.2,3,8.6,8.0,7.0,10.1,1.6
171,55-64,Divorced,25.9,25.0,27.1,24.7,1.2,3,26.7,25.0,25.1,28.2,1.6
172,55-64,Separated,7.4,7.0,8.6,6.3,1.2,3,7.8,7.0,6.2,9.3,1.6
173,55-64,Never married,23.6,25.0,24.7,22.4,1.2,3,23.8,25.0,22.3,25.4,1.6
174,65-74,"Now married, spouse present",94.6,91.0,95.7,93.4,1.2,3,94.9,91.0,93.3,96.4,1.6
175,65-74,"Now Married, spouse absent",6.3,4.0,7.4,5.1,1.2,3,8.4,4.0,6.9,10.0,1.6
176,65-74,Widowed,21.5,24.0,22.7,20.3,1.2,3,20.8,24.0,19.2,22.4,1.6
177,65-74,Divorced,20.2,24.0,21.4,19.0,1.2,3,20.5,24.0,19.0,22.1,1.6
178,65-74,Separated,3.2,1.0,4.4,2.1,1.2,3,2.9,1.0,1.3,4.4,1.6
179,65-74,Never married,18.7,17.0,19.9,17.6,1.2,3,18.0,17.0,16.5,19.6,1.6
180,75-84,"Now married, spouse present",19.3,20.0,20.5,18.1,1.2,3,18.4,20.0,16.9,20.0,1.6
181,75-84,"Now Married, spouse absent",2.4,2.0,3.6,1.2,1.2,3,0.5,2.0,-1.1,2.0,1.6
